id,lon_start,lat_start,lon_end,lat_end,frequency
2814,10.760316,52.393022,10.76003,52.392828,1.034045
2815,10.76003,52.392828,10.759862,52.392839,1.285844
2816,10.759862,52.392839,10.759428,52.393114,1.24967
2817,10.760576,52.393216,10.760316,52.393022,1.074363
2818,10.760316,52.393022,10.761174,52.392575,-0.059176
2819,10.760924,52.393431,10.760576,52.393216,1.128545
2820,10.760576,52.393216,10.761444,52.392766,-0.029436
2821,10.757303,52.397557,10.758006,52.397561,1.330849
2822,10.734506,52.369122,10.733982,52.369847,0.856232
2823,10.733982,52.369847,10.733458,52.370572,0.729259
2824,10.733458,52.370572,10.733403,52.371584,0.735361
2825,10.733403,52.371584,10.733629,52.372834,0.513968
2826,10.751005,52.391544,10.752755,52.391597,1.066888
2827,10.750842,52.39143,10.751005,52.391544,1.357388
2828,10.751005,52.391544,10.751042,52.391987,1.304751
2829,10.761833,52.394084,10.761985,52.394082,1.077824
2830,10.761543,52.393876,10.761833,52.394084,0.981879
2831,10.761833,52.394084,10.761355,52.394309,0.923447
2832,10.762353,52.393885,10.761985,52.394082,0.806594
2833,10.761985,52.394082,10.762896,52.394755,0.876392
2834,10.747832,52.362517,10.747998,52.362114,0.858124
2835,10.747998,52.362114,10.749194,52.361723,0.859123
2836,10.749194,52.361723,10.749329,52.361881,0.913655
2837,10.749329,52.361881,10.750424,52.361534,0.989316
2838,10.749975,52.358514,10.750993,52.358506,0.84546
2839,10.750993,52.358506,10.751469,52.358857,0.924285
2840,10.751469,52.358857,10.751335,52.359197,1.032596
2841,10.750806,52.35762,10.751363,52.357784,0.506198
2842,10.704698,52.395971,10.705283,52.396021,0.598877
2843,10.705346,52.39573,10.705283,52.396021,1.015011
2844,10.705283,52.396021,10.705195,52.396363,0.605519
2845,10.705195,52.396363,10.70361,52.39626,0.309148
2846,10.70361,52.39626,10.703663,52.395946,-1.595747
2847,10.703663,52.395946,10.704698,52.395971,0.304658
2848,10.704698,52.395971,10.705125,52.39565,-1.395935
2849,10.705125,52.39565,10.705346,52.39573,0.364564
2850,10.704549,52.401204,10.705967,52.40116,0.850119
2851,10.710897,52.391128,10.710027,52.391107,0.890633
2852,10.710027,52.391107,10.709275,52.39128,0.908092
2853,10.711247,52.390534,10.710897,52.391128,0.942906
2854,10.710897,52.391128,10.711633,52.391424,0.558179
2855,10.711633,52.391424,10.711867,52.391894,0.55823
2856,10.707281,52.390299,10.70802,52.390458,0.985069
2857,10.70802,52.390458,10.709275,52.39128,0.975454
2858,10.709275,52.39128,10.709192,52.391782,1.100985
2859,10.734971,52.410516,10.734946,52.410959,0.568278
2860,10.734946,52.410959,10.734227,52.410955,0.739427
2861,10.734227,52.410955,10.733112,52.410645,0.874374
2862,10.733112,52.410645,10.732701,52.410829,1.564441
2863,10.732701,52.410829,10.730805,52.410424,1.585471
2864,10.730805,52.410424,10.729961,52.410671,1.604438
2865,10.729961,52.410671,10.729353,52.411227,1.579911
2866,10.733079,52.410088,10.733133,52.410528,1.386753
2867,10.733133,52.410528,10.734971,52.410516,0.26934
2868,10.734971,52.410516,10.734944,52.410071,0.58449
2869,10.733079,52.410088,10.731448,52.410102,0.30103
2870,10.733024,52.409646,10.733079,52.410088,1.299048
2871,10.733079,52.410088,10.734944,52.410071,0.697624
2872,10.734944,52.410071,10.734916,52.409623,0.861196
2873,10.733024,52.409646,10.731389,52.409667,0.818228
2874,10.732969,52.4092,10.733024,52.409646,1.189697
2875,10.733024,52.409646,10.734916,52.409623,0.681385
2876,10.734916,52.409623,10.734892,52.409179,0.999205
2877,10.743818,52.403717,10.745301,52.403759,1.308588
2878,10.743818,52.403717,10.743403,52.403705,1.476067
2879,10.752317,52.392549,10.752533,52.392457,0.782591
2880,10.752533,52.392457,10.752571,52.391834,0.454356
